iteration,episode,action,reward,carol_help_alice_regret,carol_decline_alice_regret,carol_reciprocate_alice_regret
91,10,carol_reciprocate_alice,0.2000,6.3096,-29.3174,8.5205
92,10,carol_reciprocate_alice,0.5000,6.1644,-29.8739,8.5205
93,10,carol_reciprocate_alice,0.2000,6.3193,-30.1304,8.5205
94,10,carol_help_alice,0.2000,6.3193,-30.3869,8.6897
95,10,carol_help_alice,0.2000,6.3193,-30.6434,8.8590
96,10,carol_reciprocate_alice,0.5000,6.1647,-31.2000,8.8590
97,10,carol_reciprocate_alice,0.5000,6.0102,-31.7565,8.8590
98,10,carol_reciprocate_alice,0.5000,5.8556,-32.3130,8.8590
99,10,carol_help_alice,0.2000,5.8556,-32.5695,9.0375
100,10,carol_help_alice,0.2000,5.8556,-32.8260,9.2161
101,11,carol_help_alice,0.2000,5.8556,-33.0826,9.3947
102,11,carol_help_alice,0.6000,5.8556,-33.7391,9.1733
103,11,carol_decline_alice,0.1000,6.0962,-33.7391,9.4518
104,11,carol_reciprocate_alice,0.2000,6.2367,-33.9891,9.4518
105,11,carol_reciprocate_alice,0.5000,6.0772,-34.5391,9.4518
106,11,carol_help_alice,0.2000,6.0772,-34.7891,9.6291
107,11,carol_help_alice,0.2000,6.0772,-35.0391,9.8064
108,11,carol_help_alice,0.2000,6.0772,-35.2891,9.9837
109,11,carol_reciprocate_alice,0.5000,5.9072,-35.8391,9.9837
110,11,carol_reciprocate_alice,0.2000,6.0372,-36.0891,9.9837
111,12,carol_help_alice,0.6000,6.0372,-36.7391,9.7597
112,12,carol_decline_alice,0.1000,6.2738,-36.7391,10.0358
113,12,carol_decline_alice,0.1000,6.5104,-36.7391,10.3119
114,12,carol_decline_alice,-0.3000,7.1470,-36.7391,10.9880
115,12,carol_help_alice,0.6000,7.1470,-37.3872,10.7641
116,12,carol_help_alice,0.6000,7.1470,-38.0354,10.5402
117,12,carol_reciprocate_alice,0.2000,7.2958,-38.2835,10.5402
118,12,carol_decline_alice,0.1000,7.5447,-38.2835,10.8125
119,12,carol_reciprocate_alice,0.2000,7.6935,-38.5264,10.8125
120,12,carol_help_alice,0.2000,7.6935,-38.7692,10.9813
121,13,carol_decline_alice,0.1000,7.9390,-38.7692,11.2500
122,13,carol_reciprocate_alice,0.5000,7.7844,-39.3072,11.2500
123,13,carol_decline_alice,0.1000,8.0299,-39.3072,11.5214
124,13,carol_decline_alice,0.1000,8.2753,-39.3072,11.7929
125,13,carol_decline_alice,0.1000,8.5208,-39.3072,12.0643
126,13,carol_reciprocate_alice,0.5000,8.3662,-39.8322,12.0643
127,13,carol_reciprocate_alice,0.5000,8.2117,-40.3572,12.0643
