iteration,episode,person,action,reward,alice_help_bob,alice_decline_bob,alice_delay_bob,alice_help_carol,alice_decline_carol,alice_teach_carol,alice_help_dave,alice_decline_dave,alice_suggest_dave
1,1,bob,alice_delay_bob,-0.3000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,bob,alice_decline_bob,0.0000,0.3000,0.3000,-0.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,1,bob,alice_help_bob,-0.6040,0.3000,0.9040,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1,bob,alice_decline_bob,0.2960,-0.4520,0.9040,-0.4440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,bob,alice_delay_bob,0.4960,-1.1540,0.9540,-0.4440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,1,bob,alice_help_bob,-0.6080,-1.1540,1.7080,0.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,1,bob,alice_decline_bob,0.2920,-1.9560,1.7080,0.1620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,1,bob,alice_delay_bob,0.4920,-2.7913,1.6747,0.1620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,1,bob,alice_help_bob,-0.6120,-2.7913,2.4787,0.9993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,bob,alice_help_bob,-0.6160,-2.7913,3.2847,1.8387,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,1,carol,alice_help_carol,-0.3040,-2.7913,3.2847,1.8387,0.0000,0.3040,0.3040,0.0000,0.0000,0.0000
12,1,carol,alice_decline_carol,-0.3040,-2.7913,3.2847,1.8387,0.0000,0.3040,0.6080,0.0000,0.0000,0.0000
13,1,carol,alice_teach_carol,-0.0040,-2.7913,3.2847,1.8387,-0.3000,0.0040,0.6080,0.0000,0.0000,0.0000
14,1,carol,alice_help_carol,-0.3080,-2.7913,3.2847,1.8387,-0.3000,0.0060,0.9100,0.0000,0.0000,0.0000
15,1,carol,alice_decline_carol,-0.0080,-2.7913,3.2847,1.8387,-0.4500,0.0060,1.0620,0.0000,0.0000,0.0000
16,1,carol,alice_help_carol,0.1880,-2.7913,3.2847,1.8387,-0.4500,-0.0087,1.1993,0.0000,0.0000,0.0000
17,1,carol,alice_help_carol,0.1840,-2.7913,3.2847,1.8387,-0.4500,-0.1047,1.2553,0.0000,0.0000,0.0000
18,1,carol,alice_help_carol,-0.3200,-2.7913,3.2847,1.8387,-0.4500,-0.1487,1.3633,0.0000,0.0000,0.0000
19,1,carol,alice_help_carol,-0.3240,-2.7913,3.2847,1.8387,-0.4500,-0.1573,1.5067,0.0000,0.0000,0.0000
20,1,carol,alice_help_carol,-0.3280,-2.7913,3.2847,1.8387,-0.4500,-0.1402,1.6758,0.0000,0.0000,0.0000
21,1,dave,alice_decline_dave,0.0000,-2.7913,3.2847,1.8387,-0.4500,-0.1402,1.6758,0.0000,0.0000,0.0000
22,1,dave,alice_help_dave,0.8100,-2.7913,3.2847,1.8387,-0.4500,-0.1402,1.6758,0.0000,-0.8100,-0.8100
23,1,dave,alice_help_dave,0.8200,-2.7913,3.2847,1.8387,-0.4500,-0.1402,1.6758,0.0000,-1.6250,-1.6250
24,1,dave,alice_help_dave,0.8300,-2.7913,3.2847,1.8387,-0.4500,-0.1402,1.6758,0.0000,-2.4450,-2.4450
25,1,dave,alice_suggest_dave,0.5300,-2.7913,3.2847,1.8387,-0.4500,-0.1402,1.6758,0.2900,-2.9750,-2.4450
26,1,dave,alice_suggest_dave,0.5300,-2.7913,3.2847,1.8387,-0.4500,-0.1402,1.6758,0.5800,-3.5050,-2.4450
27,1,dave,alice_decline_dave,0.0300,-2.7913,3.2847,1.8387,-0.4500,-0.1402,1.6758,1.3850,-3.5050,-1.9300
28,1,dave,alice_suggest_dave,0.5300,-2.7913,3.2847,1.8387,-0.4500,-0.1402,1.6758,1.6750,-4.0200,-1.9300
29,1,dave,alice_suggest_dave,-0.2700,-2.7913,3.2847,1.8387,-0.4500,-0.1402,1.6758,2.1650,-4.3350,-1.9300
30,1,dave,alice_help_dave,0.8400,-2.7913,3.2847,1.8387,-0.4500,-0.1402,1.6758,2.1650,-5.1450,-2.4250
31,2,bob,alice_help_bob,0.1800,-2.7913,3.9327,2.5200,-0.4500,-0.1402,1.6758,2.1650,-5.1450,-2.4250
32,2,bob,alice_decline_bob,0.2800,-3.4603,3.9327,2.5323,-0.4500,-0.1402,1.6758,2.1650,-5.1450,-2.4250
33,2,bob,alice_decline_bob,0.2800,-4.1419,3.9327,2.5321,-0.4500,-0.1402,1.6758,2.1650,-5.1450,-2.4250
34,2,bob,alice_decline_bob,0.2800,-4.8319,3.9327,2.5234,-0.4500,-0.1402,1.6758,2.1650,-5.1450,-2.4250
35,2,bob,alice_decline_bob,0.2800,-5.5279,3.9327,2.5087,-0.4500,-0.1402,1.6758,2.1650,-5.1450,-2.4250
36,2,bob,alice_help_bob,-0.5100,-5.5279,4.6383,3.1997,-0.4500,-0.1402,1.6758,2.1650,-5.1450,-2.4250
37,2,bob,alice_decline_bob,0.2900,-6.2394,4.6383,3.1793,-0.4500,-0.1402,1.6758,2.1650,-5.1450,-2.4250
38,2,bob,alice_help_bob,-0.4286,-6.2394,5.3450,3.8656,-0.4500,-0.1402,1.6758,2.1650,-5.1450,-2.4250
39,2,bob,alice_decline_bob,-0.0000,-6.9183,5.3450,3.8729,-0.4500,-0.1402,1.6758,2.1650,-5.1450,-2.4250
40,2,bob,alice_help_bob,-0.4540,-6.9183,6.0236,4.5588,-0.4500,-0.1402,1.6758,2.1650,-5.1450,-2.4250
41,2,carol,alice_teach_carol,0.4720,-6.9183,6.0236,4.5588,-0.8571,-0.5302,1.6758,2.1650,-5.1450,-2.4250
42,2,carol,alice_teach_carol,-0.0280,-6.9183,6.0236,4.5588,-1.1770,-0.8329,1.6758,2.1650,-5.1450,-2.4250
43,2,carol,alice_decline_carol,0.5720,-6.9183,6.0236,4.5588,-1.4368,-0.8329,1.7358,2.1650,-5.1450,-2.4250
44,2,carol,alice_teach_carol,-0.0280,-6.9183,6.0236,4.5588,-1.7129,-0.8492,1.7358,2.1650,-5.1450,-2.4250
45,2,carol,alice_help_carol,0.1680,-6.9183,6.0236,4.5588,-1.7129,-0.6320,1.9693,2.1650,-5.1450,-2.4250
46,2,carol,alice_help_carol,-0.3360,-6.9183,6.0236,4.5588,-1.7129,-0.3920,2.2256,2.1650,-5.1450,-2.4250
47,2,carol,alice_teach_carol,0.4640,-6.9183,6.0236,4.5588,-2.0414,-0.4806,2.2256,2.1650,-5.1450,-2.4250
48,2,carol,alice_teach_carol,-0.0360,-6.9183,6.0236,4.5588,-2.3348,-0.5339,2.2256,2.1650,-5.1450,-2.4250
49,2,carol,alice_decline_carol,0.5640,-6.9183,6.0236,4.5588,-2.6941,-0.5339,2.1596,2.1650,-5.1450,-2.4250
50,2,carol,alice_help_carol,0.1600,-6.9183,6.0236,4.5588,-2.6941,-0.2059,2.4216,2.1650,-5.1450,-2.4250
51,2,dave,alice_decline_dave,0.0400,-6.9183,6.0236,4.5588,-2.6941,-0.2059,2.4216,2.9667,-5.1450,-2.1183
52,2,dave,alice_help_dave,0.0500,-6.9183,6.0236,4.5588,-2.6941,-0.2059,2.4216,2.9667,-5.7917,-2.4583
53,2,dave,alice_help_dave,0.0600,-6.9183,6.0236,4.5588,-2.6941,-0.2059,2.4216,2.9667,-6.3367,-2.6967
54,2,dave,alice_help_dave,0.0700,-6.9183,6.0236,4.5588,-2.6941,-0.2059,2.4216,2.9667,-6.8105,-2.8638
55,2,dave,alice_help_dave,0.7910,-6.9183,6.0236,4.5588,-2.6941,-0.2059,2.4216,2.9667,-7.3210,-3.0677
56,2,dave,alice_help_dave,0.8093,-6.9183,6.0236,4.5588,-2.6941,-0.2059,2.4216,2.9667,-7.8622,-3.3022
57,2,dave,alice_suggest_dave,0.5760,-6.9183,6.0236,4.5588,-2.6941,-0.2059,2.4216,3.1519,-8.2180,-3.3022
58,2,dave,alice_help_dave,0.8260,-6.9183,6.0236,4.5588,-2.6941,-0.2059,2.4216,3.1519,-8.7853,-3.5136
59,2,dave,alice_help_dave,0.8415,-6.9183,6.0236,4.5588,-2.6941,-0.2059,2.4216,3.1519,-9.3754,-3.7478
60,2,dave,alice_help_dave,0.7920,-6.9183,6.0236,4.5588,-2.6941,-0.2059,2.4216,3.1519,-9.9804,-3.9970
61,3,bob,alice_help_bob,0.4060,-6.9183,6.6063,5.1489,-2.6941,-0.2059,2.4216,3.1519,-9.9804,-3.9970
62,3,bob,alice_delay_bob,0.5060,-7.5775,6.5298,5.1489,-2.6941,-0.2059,2.4216,3.1519,-9.9804,-3.9970
63,3,bob,alice_decline_bob,0.0060,-8.1386,6.5298,5.2470,-2.6941,-0.2059,2.4216,3.1519,-9.9804,-3.9970
64,3,bob,alice_decline_bob,0.0060,-8.6821,6.5298,5.3628,-2.6941,-0.2059,2.4216,3.1519,-9.9804,-3.9970
65,3,bob,alice_decline_bob,0.0060,-9.2108,6.5298,5.4933,-2.6941,-0.2059,2.4216,3.1519,-9.9804,-3.9970
