iteration,episode,action,reward,carol_help_alice_regret,carol_decline_alice_regret,carol_reciprocate_alice_regret
1,1,carol_help_alice,0.6000,0.0000,-0.6000,-0.6000
2,1,carol_reciprocate_alice,0.2000,0.4000,-0.8000,-0.6000
3,1,carol_decline_alice,0.1000,0.9000,-0.8000,-0.5000
4,1,carol_help_alice,0.2000,0.9000,-0.9000,-0.5000
5,1,carol_decline_alice,0.1000,1.2000,-0.9000,-0.4000
6,1,carol_decline_alice,0.1000,1.5000,-0.9000,-0.3000
7,1,carol_reciprocate_alice,0.2000,1.7000,-1.0000,-0.3000
8,1,carol_help_alice,0.2000,1.7000,-1.1000,-0.3000
9,1,carol_reciprocate_alice,0.5000,1.5333,-1.5000,-0.3000
10,1,carol_help_alice,0.2000,1.5333,-1.6000,-0.2000
11,2,carol_reciprocate_alice,0.5000,1.3333,-2.0000,-0.2000
12,2,carol_decline_alice,0.1000,1.5333,-2.0000,0.0500
13,2,carol_decline_alice,0.1000,1.7333,-2.0000,0.3000
14,2,carol_reciprocate_alice,0.2000,1.8333,-2.1000,0.3000
15,2,carol_decline_alice,0.1000,2.0333,-2.1000,0.5200
16,2,carol_decline_alice,0.1000,2.2333,-2.1000,0.7400
17,2,carol_help_alice,0.2000,2.2333,-2.2000,0.8600
18,2,carol_reciprocate_alice,0.5000,2.0133,-2.6000,0.8600
19,2,carol_decline_alice,0.1000,2.1933,-2.6000,1.1100
20,2,carol_help_alice,0.2000,2.1933,-2.7000,1.2600
21,3,carol_help_alice,0.2000,2.1933,-2.8000,1.4100
22,3,carol_reciprocate_alice,0.2000,2.2505,-2.9000,1.4100
23,3,carol_decline_alice,-0.3000,2.8076,-2.9000,2.0386
24,3,carol_help_alice,0.2000,2.8076,-3.0444,2.1671
25,3,carol_help_alice,0.6000,2.8076,-3.5889,1.8957
26,3,carol_help_alice,0.2000,2.8076,-3.7333,2.0243
27,3,carol_reciprocate_alice,0.5000,2.5876,-4.1778,2.0243
28,3,carol_help_alice,0.2000,2.5876,-4.3222,2.1743
29,3,carol_decline_alice,0.1000,2.7603,-4.3222,2.4243
30,3,carol_reciprocate_alice,0.5000,2.5331,-4.7622,2.4243
31,4,carol_reciprocate_alice,0.5000,2.3058,-5.2022,2.4243
32,4,carol_reciprocate_alice,0.5000,2.0785,-5.6422,2.4243
