iteration,episode,person,action,reward,alice_help_bob,alice_decline_bob,alice_delay_bob,alice_help_carol,alice_decline_carol,alice_teach_carol,alice_help_dave,alice_decline_dave,alice_suggest_dave
1,1,bob,alice_delay_bob,0.5000,-0.5000,-0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,bob,alice_delay_bob,-0.3000,-0.6000,-0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,1,bob,alice_decline_bob,0.0000,-0.6000,-0.6000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1,bob,alice_delay_bob,0.5000,-0.8333,-0.8333,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,bob,alice_delay_bob,0.5000,-1.1333,-1.1333,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,1,bob,alice_delay_bob,-0.3000,-1.3133,-1.3133,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,1,bob,alice_help_bob,0.8100,-1.3133,-2.1233,-0.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,1,bob,alice_delay_bob,0.5100,-0.7383,-2.3583,-0.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,1,bob,alice_delay_bob,0.5100,-0.2026,-2.6326,-0.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,bob,alice_help_bob,-0.2940,-0.2026,-2.8906,-0.5137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,1,carol,alice_teach_carol,0.5000,-0.2026,-2.8906,-0.5137,-0.5000,-0.5000,0.0000,0.0000,0.0000,0.0000
12,1,carol,alice_help_carol,-0.3040,-0.2026,-2.8906,-0.5137,-0.5000,-0.1960,0.8040,0.0000,0.0000,0.0000
13,1,carol,alice_decline_carol,0.2960,-0.2026,-2.8906,-0.5137,-1.1000,-0.1960,1.0080,0.0000,0.0000,0.0000
14,1,carol,alice_teach_carol,-0.0040,-0.2026,-2.8906,-0.5137,-1.6520,-0.1480,1.0080,0.0000,0.0000,0.0000
15,1,carol,alice_decline_carol,0.5960,-0.2026,-2.8906,-0.5137,-2.4020,-0.1480,0.8100,0.0000,0.0000,0.0000
16,1,carol,alice_decline_carol,0.5960,-0.2026,-2.8906,-0.5137,-3.2020,-0.1480,0.5620,0.0000,0.0000,0.0000
17,1,carol,alice_help_carol,-0.3080,-0.2026,-2.8906,-0.5137,-3.2020,0.6540,1.1160,0.0000,0.0000,0.0000
