iteration,episode,person,action,reward,alice_help_bob,alice_decline_bob,alice_delay_bob,alice_help_carol,alice_decline_carol,alice_teach_carol,alice_help_dave,alice_decline_dave,alice_suggest_dave
1,1,bob,alice_delay_bob,-0.3000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,bob,alice_delay_bob,0.5000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,1,bob,alice_decline_bob,0.0000,0.2000,0.2000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1,bob,alice_delay_bob,0.5000,-0.0333,-0.0333,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,bob,alice_delay_bob,0.5000,-0.3333,-0.3333,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,1,bob,alice_decline_bob,0.0000,-0.3333,-0.3333,0.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,1,bob,alice_help_bob,0.1960,-0.3333,-0.5293,0.5040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,1,bob,alice_help_bob,0.1920,-0.3333,-0.7233,0.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,1,bob,alice_decline_bob,0.2920,-0.2367,-0.7233,0.8127,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,bob,alice_delay_bob,0.4920,-0.3811,-0.9644,0.8127,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,1,carol,alice_decline_carol,0.3000,-0.3811,-0.9644,0.8127,-0.3000,0.0000,-0.3000,0.0000,0.0000,0.0000
12,1,carol,alice_decline_carol,0.3000,-0.3811,-0.9644,0.8127,-0.6000,0.0000,-0.6000,0.0000,0.0000,0.0000
13,1,carol,alice_help_carol,0.1960,-0.3811,-0.9644,0.8127,-0.6000,0.1040,-0.7960,0.0000,0.0000,0.0000
14,1,carol,alice_teach_carol,-0.0040,-0.3811,-0.9644,0.8127,-0.4000,0.4080,-0.7960,0.0000,0.0000,0.0000
15,1,carol,alice_help_carol,0.1920,-0.3811,-0.9644,0.8127,-0.4000,0.5140,-0.9940,0.0000,0.0000,0.0000
16,1,carol,alice_teach_carol,-0.0080,-0.3811,-0.9644,0.8127,-0.2000,0.8200,-0.9940,0.0000,0.0000,0.0000
17,1,carol,alice_help_carol,0.1880,-0.3811,-0.9644,0.8127,-0.2000,0.9280,-1.1920,0.0000,0.0000,0.0000
18,1,carol,alice_decline_carol,-0.0120,-0.3811,-0.9644,0.8127,-0.2040,0.9280,-1.3940,0.0000,0.0000,0.0000
19,1,carol,alice_help_carol,0.1840,-0.3811,-0.9644,0.8127,-0.2040,0.9340,-1.5900,0.0000,0.0000,0.0000
20,1,carol,alice_teach_carol,-0.0160,-0.3811,-0.9644,0.8127,-0.0047,1.1393,-1.5900,0.0000,0.0000,0.0000
21,1,dave,alice_decline_dave,0.0000,-0.3811,-0.9644,0.8127,-0.0047,1.1393,-1.5900,0.0000,0.0000,0.0000
22,1,dave,alice_suggest_dave,0.5000,-0.3811,-0.9644,0.8127,-0.0047,1.1393,-1.5900,-0.5000,-0.5000,0.0000
23,1,dave,alice_decline_dave,0.0000,-0.3811,-0.9644,0.8127,-0.0047,1.1393,-1.5900,-0.5000,-0.5000,0.5000
24,1,dave,alice_decline_dave,0.0000,-0.3811,-0.9644,0.8127,-0.0047,1.1393,-1.5900,-0.5000,-0.5000,1.0000
25,1,dave,alice_suggest_dave,0.5000,-0.3811,-0.9644,0.8127,-0.0047,1.1393,-1.5900,-1.0000,-1.0000,1.0000
26,1,dave,alice_help_dave,0.8100,-0.3811,-0.9644,0.8127,-0.0047,1.1393,-1.5900,-1.0000,-1.8100,0.6900
27,1,dave,alice_help_dave,0.8200,-0.3811,-0.9644,0.8127,-0.0047,1.1393,-1.5900,-1.0000,-2.6250,0.3750
28,1,dave,alice_decline_dave,0.0200,-0.3811,-0.9644,0.8127,-0.0047,1.1393,-1.5900,-0.1900,-2.6250,0.8700
29,1,dave,alice_suggest_dave,-0.2800,-0.3811,-0.9644,0.8127,-0.0047,1.1393,-1.5900,0.3850,-2.8600,0.8700
30,1,dave,alice_help_dave,0.0300,-0.3811,-0.9644,0.8127,-0.0047,1.1393,-1.5900,0.3850,-3.4083,0.5567
31,2,bob,alice_delay_bob,0.4920,-0.5511,-1.2311,0.8127,-0.0047,1.1393,-1.5900,0.3850,-3.4083,0.5567
32,2,bob,alice_decline_bob,0.2920,-0.5031,-1.2311,1.0307,-0.0047,1.1393,-1.5900,0.3850,-3.4083,0.5567
33,2,bob,alice_delay_bob,0.4920,-0.6914,-1.4674,1.0307,-0.0047,1.1393,-1.5900,0.3850,-3.4083,0.5567
34,2,bob,alice_decline_bob,0.2920,-0.6726,-1.4674,1.2378,-0.0047,1.1393,-1.5900,0.3850,-3.4083,0.5567
35,2,bob,alice_delay_bob,-0.3080,-0.7746,-1.5882,1.2378,-0.0047,1.1393,-1.5900,0.3850,-3.4083,0.5567
36,2,bob,alice_decline_bob,0.2920,-0.7752,-1.5882,1.3391,-0.0047,1.1393,-1.5900,0.3850,-3.4083,0.5567
37,2,bob,alice_help_bob,0.4020,-0.7752,-1.6568,1.3718,-0.0047,1.1393,-1.5900,0.3850,-3.4083,0.5567
38,2,bob,alice_decline_bob,0.0020,-0.6790,-1.6568,1.5006,-0.0047,1.1393,-1.5900,0.3850,-3.4083,0.5567
39,2,bob,alice_decline_bob,0.0020,-0.5622,-1.6568,1.6501,-0.0047,1.1393,-1.5900,0.3850,-3.4083,0.5567
40,2,bob,alice_help_bob,0.3480,-0.5622,-1.7948,1.6616,-0.0047,1.1393,-1.5900,0.3850,-3.4083,0.5567
41,2,carol,alice_teach_carol,0.4840,-0.5622,-1.7948,1.6616,0.0713,1.2213,-1.5900,0.3850,-3.4083,0.5567
42,2,carol,alice_help_carol,-0.3200,-0.5622,-1.7948,1.6616,0.0713,1.3293,-1.5640,0.3850,-3.4083,0.5567
43,2,carol,alice_teach_carol,-0.0200,-0.5622,-1.7948,1.6616,0.0721,1.4381,-1.5640,0.3850,-3.4083,0.5567
44,2,carol,alice_help_carol,0.1760,-0.5622,-1.7948,1.6616,0.0721,1.5315,-1.5795,0.3850,-3.4083,0.5567
