iteration,episode,action,reward,carol_help_alice_regret,carol_decline_alice_regret,carol_reciprocate_alice_regret
1,1,carol_decline_alice,0.1000,-0.1000,0.0000,-0.1000
2,1,carol_decline_alice,0.1000,-0.2000,0.0000,-0.2000
3,1,carol_reciprocate_alice,0.5000,-0.7000,-0.4000,-0.2000
4,1,carol_help_alice,0.2000,-0.7000,-0.5000,0.1000
5,1,carol_reciprocate_alice,0.5000,-1.0000,-0.9000,0.1000
6,1,carol_help_alice,0.2000,-1.0000,-1.0000,0.4000
7,1,carol_reciprocate_alice,0.5000,-1.3000,-1.4000,0.4000
8,1,carol_decline_alice,-0.3000,-0.8000,-1.4000,1.2000
9,1,carol_reciprocate_alice,0.5000,-1.1000,-1.9333,1.2000
10,1,carol_help_alice,0.2000,-1.1000,-2.1667,1.5000
11,2,carol_help_alice,0.6000,-1.1000,-2.8000,1.4000
12,2,carol_reciprocate_alice,0.2000,-1.0000,-3.0333,1.4000
13,2,carol_help_alice,0.2000,-1.0000,-3.2667,1.6400
14,2,carol_reciprocate_alice,0.5000,-1.2200,-3.8000,1.6400
15,2,carol_help_alice,0.2000,-1.2200,-4.0333,1.8900
16,2,carol_help_alice,0.6000,-1.2200,-4.6667,1.7400
17,2,carol_reciprocate_alice,0.5000,-1.4057,-5.2000,1.7400
18,2,carol_decline_alice,0.1000,-1.1914,-5.2000,2.0971
19,2,carol_help_alice,0.2000,-1.1914,-5.4000,2.3543
20,2,carol_reciprocate_alice,0.2000,-1.0914,-5.6000,2.3543
21,3,carol_help_alice,0.6000,-1.0914,-6.2000,2.1793
22,3,carol_reciprocate_alice,0.2000,-0.9581,-6.4000,2.1793
23,3,carol_help_alice,0.2000,-0.9581,-6.6000,2.3793
24,3,carol_reciprocate_alice,0.5000,-1.1381,-7.1000,2.3793
25,3,carol_decline_alice,0.1000,-0.9181,-7.1000,2.6893
26,3,carol_help_alice,0.6000,-0.9181,-7.6800,2.4993
27,3,carol_help_alice,0.2000,-0.9181,-7.8600,2.7093
28,3,carol_help_alice,0.2000,-0.9181,-8.0400,2.9193
29,3,carol_reciprocate_alice,0.2000,-0.7950,-8.2200,2.9193
30,3,carol_reciprocate_alice,0.5000,-0.9719,-8.7000,2.9193
31,4,carol_decline_alice,0.1000,-0.7489,-8.7000,3.2193
32,4,carol_decline_alice,0.1000,-0.5258,-8.7000,3.5193
33,4,carol_help_alice,0.2000,-0.5258,-8.8571,3.7193
34,4,carol_decline_alice,0.1000,-0.3115,-8.8571,4.0193
35,4,carol_reciprocate_alice,0.5000,-0.4972,-9.3071,4.0193
36,4,carol_decline_alice,0.1000,-0.2829,-9.3071,4.3270
37,4,carol_reciprocate_alice,0.5000,-0.4686,-9.7516,4.3270
38,4,carol_reciprocate_alice,0.5000,-0.6544,-10.1960,4.3270
39,4,carol_help_alice,0.6000,-0.6544,-10.7405,4.1470
40,4,carol_reciprocate_alice,0.5000,-0.8210,-11.1849,4.1470
41,5,carol_help_alice,0.2000,-0.8210,-11.3294,4.3720
42,5,carol_reciprocate_alice,0.2000,-0.6960,-11.4738,4.3720
43,5,carol_decline_alice,-0.3000,-0.0710,-11.4738,5.0837
44,5,carol_reciprocate_alice,0.5000,-0.2460,-11.9538,5.0837
45,5,carol_help_alice,0.2000,-0.2460,-12.1338,5.3004
46,5,carol_reciprocate_alice,0.5000,-0.4284,-12.6138,5.3004
47,5,carol_help_alice,0.2000,-0.4284,-12.7938,5.5215
48,5,carol_reciprocate_alice,0.5000,-0.6173,-13.2738,5.5215
49,5,carol_decline_alice,-0.3000,-0.0062,-13.2738,6.2465
50,5,carol_decline_alice,0.1000,0.2050,-13.2738,6.5715
