iteration,episode,person,action,reward,alice_help_bob,alice_decline_bob,alice_delay_bob,alice_help_carol,alice_decline_carol,alice_teach_carol,alice_help_dave,alice_decline_dave,alice_suggest_dave
45,2,carol,alice_teach_carol,-0.0200,-2.0947,-3.2011,5.4040,0.0754,0.8302,-0.6289,2.5508,-3.6433,-4.7742
46,2,carol,alice_teach_carol,-0.0200,-2.0947,-3.2011,5.4040,-0.0254,1.1374,-0.6289,2.5508,-3.6433,-4.7742
47,2,carol,alice_teach_carol,-0.0200,-2.0947,-3.2011,5.4040,-0.1247,1.4461,-0.6289,2.5508,-3.6433,-4.7742
48,2,carol,alice_help_carol,0.1760,-2.0947,-3.2011,5.4040,-0.1247,1.8061,-0.5776,2.5508,-3.6433,-4.7742
49,2,carol,alice_teach_carol,-0.0240,-2.0947,-3.2011,5.4040,-0.1744,2.1164,-0.5776,2.5508,-3.6433,-4.7742
50,2,carol,alice_help_carol,0.1720,-2.0947,-3.2011,5.4040,-0.1744,2.4426,-0.5616,2.5508,-3.6433,-4.7742
51,2,dave,alice_help_dave,0.8600,-2.0947,-3.2011,5.4040,-0.1744,2.4426,-0.5616,2.5508,-4.3275,-5.7458
52,2,dave,alice_help_dave,0.0700,-2.0947,-3.2011,5.4040,-0.1744,2.4426,-0.5616,2.5508,-4.9214,-6.6273
53,2,dave,alice_decline_dave,0.0700,-2.0947,-3.2011,5.4040,-0.1744,2.4426,-0.5616,3.1343,-4.9214,-6.9253
54,2,dave,alice_decline_dave,0.0700,-2.0947,-3.2011,5.4040,-0.1744,2.4426,-0.5616,3.7107,-4.9214,-7.2303
55,2,dave,alice_suggest_dave,-0.2300,-2.0947,-3.2011,5.4040,-0.1744,2.4426,-0.5616,4.5721,-4.6364,-7.2303
56,2,dave,alice_suggest_dave,0.5700,-2.0947,-3.2011,5.4040,-0.1744,2.4426,-0.5616,5.1602,-4.6248,-7.2303
57,2,dave,alice_decline_dave,0.0700,-2.0947,-3.2011,5.4040,-0.1744,2.4426,-0.5616,5.7316,-4.6248,-7.2469
58,2,dave,alice_suggest_dave,-0.2300,-2.0947,-3.2011,5.4040,-0.1744,2.4426,-0.5616,6.3831,-4.5448,-7.2469
59,2,dave,alice_suggest_dave,0.5700,-2.0947,-3.2011,5.4040,-0.1744,2.4426,-0.5616,6.9125,-4.5868,-7.2469
60,2,dave,alice_help_dave,0.0800,-2.0947,-3.2011,5.4040,-0.1744,2.4426,-0.5616,6.9125,-5.0918,-7.7099
61,3,bob,alice_decline_bob,0.2900,-2.2223,-3.2011,5.7531,-0.1744,2.4426,-0.5616,6.9125,-5.0918,-7.7099
62,3,bob,alice_decline_bob,0.2900,-2.3777,-3.2011,6.0742,-0.1744,2.4426,-0.5616,6.9125,-5.0918,-7.7099
