iteration,episode,action,reward,carol_help_alice_regret,carol_decline_alice_regret,carol_reciprocate_alice_regret
1,1,carol_help_alice,0.2000,0.0000,-0.2000,-0.2000
2,1,carol_help_alice,0.6000,0.0000,-0.8000,-0.8000
3,1,carol_reciprocate_alice,0.5000,-0.1000,-1.3000,-0.8000
4,1,carol_help_alice,0.2000,-0.1000,-1.5000,-0.5000
5,1,carol_reciprocate_alice,0.5000,-0.2667,-2.0000,-0.5000
6,1,carol_help_alice,0.2000,-0.2667,-2.2000,-0.2000
7,1,carol_help_alice,0.6000,-0.2667,-2.8000,-0.3000
8,1,carol_help_alice,0.6000,-0.2667,-3.4000,-0.4000
9,1,carol_help_alice,0.2000,-0.2667,-3.6000,-0.1000
10,1,carol_decline_alice,0.1000,0.0048,-3.6000,0.3000
11,2,carol_help_alice,0.2000,0.0048,-3.7000,0.6000
12,2,carol_decline_alice,-0.3000,0.6548,-3.7000,1.4000
13,2,carol_decline_alice,0.1000,0.9048,-3.7000,1.8000
14,2,carol_help_alice,0.2000,0.9048,-3.9333,2.1000
15,2,carol_help_alice,0.6000,0.9048,-4.5667,2.0000
16,2,carol_decline_alice,0.1000,1.1648,-4.5667,2.4000
17,2,carol_reciprocate_alice,0.2000,1.3248,-4.7667,2.4000
18,2,carol_decline_alice,0.1000,1.5848,-4.7667,2.7000
19,2,carol_decline_alice,0.1000,1.8448,-4.7667,3.0000
20,2,carol_help_alice,0.6000,1.8448,-5.3333,2.8000
21,3,carol_help_alice,0.2000,1.8448,-5.5000,3.0000
22,3,carol_reciprocate_alice,0.2000,2.0114,-5.6667,3.0000
23,3,carol_decline_alice,0.1000,2.2781,-5.6667,3.2500
24,3,carol_help_alice,0.2000,2.2781,-5.8238,3.4000
25,3,carol_reciprocate_alice,0.5000,2.1319,-6.2810,3.4000
26,3,carol_decline_alice,0.1000,2.3858,-6.2810,3.6800
27,3,carol_reciprocate_alice,0.5000,2.2396,-6.7310,3.6800
28,3,carol_help_alice,0.2000,2.2396,-6.8810,3.8800
29,3,carol_help_alice,0.2000,2.2396,-7.0310,4.0800
30,3,carol_decline_alice,0.1000,2.4730,-7.0310,4.3800
31,4,carol_reciprocate_alice,0.5000,2.3063,-7.4754,4.3800
32,4,carol_reciprocate_alice,0.2000,2.4396,-7.6198,4.3800
33,4,carol_reciprocate_alice,0.2000,2.5730,-7.7643,4.3800
34,4,carol_help_alice,0.2000,2.5730,-7.9087,4.5467
35,4,carol_help_alice,0.6000,2.5730,-8.4532,4.3133
36,4,carol_help_alice,0.2000,2.5730,-8.5976,4.4800
37,4,carol_decline_alice,-0.3000,3.2063,-8.5976,5.1467
38,4,carol_decline_alice,-0.3000,3.8396,-8.5976,5.8133
39,4,carol_reciprocate_alice,0.2000,3.9730,-8.8067,5.8133
40,4,carol_help_alice,0.2000,3.9730,-9.0158,5.9633
41,5,carol_help_alice,0.2000,3.9730,-9.2249,6.1133
42,5,carol_reciprocate_alice,0.5000,3.7930,-9.7340,6.1133
43,5,carol_reciprocate_alice,0.5000,3.6130,-10.2431,6.1133
44,5,carol_decline_alice,0.1000,3.8330,-10.2431,6.3883
45,5,carol_decline_alice,0.1000,4.0530,-10.2431,6.6633
46,5,carol_reciprocate_alice,0.2000,4.1730,-10.4354,6.6633
47,5,carol_help_alice,0.2000,4.1730,-10.6277,6.8249
48,5,carol_reciprocate_alice,0.5000,3.9873,-11.1200,6.8249
49,5,carol_help_alice,0.2000,3.9873,-11.3123,6.9963
50,5,carol_decline_alice,0.1000,4.1963,-11.3123,7.2677
51,6,carol_help_alice,0.2000,4.1963,-11.4980,7.4392
52,6,carol_reciprocate_alice,0.5000,4.0007,-11.9837,7.4392
53,6,carol_reciprocate_alice,0.5000,3.8050,-12.4694,7.4392
54,6,carol_help_alice,0.6000,3.8050,-13.0552,7.2267
55,6,carol_help_alice,0.6000,3.8050,-13.6409,7.0142
56,6,carol_reciprocate_alice,0.5000,3.6330,-14.1266,7.0142
57,6,carol_reciprocate_alice,0.5000,3.4610,-14.6123,7.0142
