iteration,episode,person,action,reward,help_bob,decline_bob,delay_bob,help_alice,decline_alice,teach_alice,help_dave,decline_dave,suggest_dave
1,1,bob,delay_bob,0.5000,-0.5000,-0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,bob,delay_bob,-0.3000,-0.6000,-0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,1,bob,delay_bob,0.5000,-0.8333,-0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1,bob,delay_bob,0.5000,-1.1333,-1.1333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,bob,help_bob,0.0100,-1.1333,-1.1433,0.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,1,bob,delay_bob,0.5100,-1.4653,-1.4853,0.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,1,bob,delay_bob,0.5100,-1.8253,-1.8553,0.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,1,bob,help_bob,0.5060,-1.8253,-2.1133,0.4020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,1,bob,delay_bob,-0.2940,-1.8425,-2.3885,0.4020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,bob,help_bob,0.4020,-1.8425,-2.6945,0.3711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,1,carol,teach_alice,0.0000,-1.8425,-2.6945,0.3711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,1,carol,teach_alice,0.0000,-1.8425,-2.6945,0.3711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,1,carol,help_alice,0.1960,-1.8425,-2.6945,0.3711,0.0000,-0.1960,-0.1960,0.0000,0.0000,0.0000
14,1,carol,teach_alice,-0.0040,-1.8425,-2.6945,0.3711,0.1973,-0.1947,-0.1960,0.0000,0.0000,0.0000
15,1,carol,help_alice,0.1920,-1.8425,-2.6945,0.3711,0.1973,-0.3887,-0.3913,0.0000,0.0000,0.0000
16,1,carol,teach_alice,-0.0080,-1.8425,-2.6945,0.3711,0.3943,-0.3857,-0.3913,0.0000,0.0000,0.0000
17,1,carol,teach_alice,0.4920,-1.8425,-2.6945,0.3711,0.4923,-0.4817,-0.3913,0.0000,0.0000,0.0000
18,1,carol,teach_alice,-0.0080,-1.8425,-2.6945,0.3711,0.6077,-0.5603,-0.3913,0.0000,0.0000,0.0000
19,1,carol,teach_alice,-0.0080,-1.8425,-2.6945,0.3711,0.7354,-0.6266,-0.3913,0.0000,0.0000,0.0000
20,1,carol,decline_alice,0.5920,-1.8425,-2.6945,0.3711,0.3374,-0.6266,-0.9170,0.0000,0.0000,0.0000
21,1,dave,help_dave,0.0100,-1.8425,-2.6945,0.3711,0.3374,-0.6266,-0.9170,0.0000,-0.0100,-0.0100
22,1,dave,decline_dave,0.0100,-1.8425,-2.6945,0.3711,0.3374,-0.6266,-0.9170,0.0000,-0.0100,-0.0200
23,1,dave,suggest_dave,0.5100,-1.8425,-2.6945,0.3711,0.3374,-0.6266,-0.9170,-0.5000,-0.5100,-0.0200
