iteration,episode,person,action,reward,alice_help_bob,alice_decline_bob,alice_delay_bob,alice_help_carol,alice_decline_carol,alice_teach_carol,alice_help_dave,alice_decline_dave,alice_suggest_dave
1,1,bob,alice_delay_bob,0.5000,-0.5000,-0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,bob,alice_decline_bob,0.0000,-0.5000,-0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,1,bob,alice_help_bob,0.8100,-0.5000,-1.3100,0.1900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1,bob,alice_delay_bob,0.5100,-0.1950,-1.8150,0.1900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,bob,alice_help_bob,0.5060,-0.1950,-2.4730,0.0370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,1,bob,alice_delay_bob,0.5060,-0.0423,-2.9783,0.0370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,1,bob,alice_delay_bob,-0.2940,0.3102,-3.2838,0.0370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,1,bob,alice_delay_bob,0.5060,0.6226,-3.6294,0.0370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,1,bob,alice_decline_bob,0.0060,1.2776,-3.6294,0.3796,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,bob,alice_decline_bob,0.0060,1.9316,-3.6294,0.7212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,1,carol,alice_help_carol,0.1960,1.9316,-3.6294,0.7212,0.0000,-0.1960,-0.1960,0.0000,0.0000,0.0000
12,1,carol,alice_help_carol,-0.3080,1.9316,-3.6294,0.7212,0.0000,-0.1400,-0.1400,0.0000,0.0000,0.0000
13,1,carol,alice_decline_carol,-0.3080,1.9316,-3.6294,0.7212,0.2520,-0.1400,0.1680,0.0000,0.0000,0.0000
14,1,carol,alice_help_carol,-0.3120,1.9316,-3.6294,0.7212,0.2520,-0.3067,0.3093,0.0000,0.0000,0.0000
15,1,carol,alice_help_carol,0.1840,1.9316,-3.6294,0.7212,0.2520,-0.5547,0.3693,0.0000,0.0000,0.0000
16,1,carol,alice_teach_carol,-0.0160,1.9316,-3.6294,0.7212,0.2080,-0.8467,0.3693,0.0000,0.0000,0.0000
17,1,carol,alice_help_carol,0.1800,1.9316,-3.6294,0.7212,0.2080,-1.1427,0.3653,0.0000,0.0000,0.0000
18,1,carol,alice_teach_carol,0.4800,1.9316,-3.6294,0.7212,-0.0360,-1.6827,0.3653,0.0000,0.0000,0.0000
19,1,carol,alice_help_carol,0.1760,1.9316,-3.6294,0.7212,-0.0360,-2.0100,0.5780,0.0000,0.0000,0.0000
20,1,carol,alice_decline_carol,0.5760,1.9316,-3.6294,0.7212,-0.1507,-2.0100,0.6760,0.0000,0.0000,0.0000
21,1,dave,alice_decline_dave,0.0000,1.9316,-3.6294,0.7212,-0.1507,-2.0100,0.6760,0.0000,0.0000,0.0000
22,1,dave,alice_help_dave,0.8100,1.9316,-3.6294,0.7212,-0.1507,-2.0100,0.6760,0.0000,-0.8100,-0.8100
23,1,dave,alice_help_dave,0.8200,1.9316,-3.6294,0.7212,-0.1507,-2.0100,0.6760,0.0000,-1.6250,-1.6250
24,1,dave,alice_help_dave,0.0300,1.9316,-3.6294,0.7212,-0.1507,-2.0100,0.6760,0.0000,-2.1783,-2.1783
25,1,dave,alice_decline_dave,0.0300,1.9316,-3.6294,0.7212,-0.1507,-2.0100,0.6760,0.5383,-2.1783,-2.1933
26,1,dave,alice_suggest_dave,0.5300,1.9316,-3.6294,0.7212,-0.1507,-2.0100,0.6760,0.5617,-2.6933,-2.1933
