iteration,episode,action,reward,carol_help_alice_regret,carol_decline_alice_regret,carol_reciprocate_alice_regret
1,1,carol_decline_alice,0.1000,-0.1000,0.0000,-0.1000
2,1,carol_reciprocate_alice,0.5000,-0.6000,-0.4000,-0.1000
3,1,carol_decline_alice,0.1000,-0.7000,-0.4000,0.3000
4,1,carol_help_alice,0.2000,-0.7000,-0.5000,0.6000
5,1,carol_reciprocate_alice,0.5000,-1.0000,-0.9000,0.6000
6,1,carol_decline_alice,-0.3000,-0.5000,-0.9000,1.4000
7,1,carol_reciprocate_alice,0.5000,-0.8000,-1.4333,1.4000
8,1,carol_reciprocate_alice,0.5000,-1.1000,-1.9667,1.4000
9,1,carol_reciprocate_alice,0.2000,-1.1000,-2.2000,1.4000
10,1,carol_reciprocate_alice,0.5000,-1.4000,-2.7333,1.4000
11,2,carol_decline_alice,0.1000,-1.3000,-2.7333,1.7500
12,2,carol_reciprocate_alice,0.2000,-1.3000,-2.9333,1.7500
13,2,carol_reciprocate_alice,0.5000,-1.6000,-3.4333,1.7500
14,2,carol_reciprocate_alice,0.5000,-1.9000,-3.9333,1.7500
15,2,carol_help_alice,0.2000,-1.9000,-4.1333,1.9833
16,2,carol_reciprocate_alice,0.5000,-2.2000,-4.6333,1.9833
17,2,carol_decline_alice,0.1000,-2.1000,-4.6333,2.3233
18,2,carol_help_alice,0.2000,-2.1000,-4.8133,2.5633
19,2,carol_reciprocate_alice,0.2000,-2.1000,-4.9933,2.5633
20,2,carol_decline_alice,-0.3000,-1.6000,-4.9933,3.2815
21,3,carol_decline_alice,-0.3000,-1.1000,-4.9933,3.9997
22,3,carol_decline_alice,0.1000,-1.0000,-4.9933,4.3179
23,3,carol_decline_alice,-0.3000,-0.5000,-4.9933,5.0361
24,3,carol_reciprocate_alice,0.5000,-0.8000,-5.5711,5.0361
25,3,carol_decline_alice,0.1000,-0.7000,-5.5711,5.3611
26,3,carol_decline_alice,0.1000,-0.6000,-5.5711,5.6861
27,3,carol_decline_alice,0.1000,-0.5000,-5.5711,6.0111
28,3,carol_reciprocate_alice,0.5000,-0.8000,-6.1044,6.0111
29,3,carol_help_alice,0.6000,-0.8000,-6.7378,5.8418
30,3,carol_reciprocate_alice,0.5000,-1.0000,-7.2711,5.8418
31,4,carol_reciprocate_alice,0.5000,-1.2000,-7.8044,5.8418
32,4,carol_reciprocate_alice,0.5000,-1.4000,-8.3378,5.8418
33,4,carol_reciprocate_alice,0.5000,-1.6000,-8.8711,5.8418
34,4,carol_reciprocate_alice,0.5000,-1.8000,-9.4044,5.8418
35,4,carol_reciprocate_alice,0.5000,-2.0000,-9.9378,5.8418
36,4,carol_reciprocate_alice,0.5000,-2.2000,-10.4711,5.8418
37,4,carol_help_alice,0.2000,-2.2000,-10.7044,6.0968
38,4,carol_reciprocate_alice,0.2000,-2.1200,-10.9378,6.0968
39,4,carol_reciprocate_alice,0.5000,-2.3400,-11.4711,6.0968
40,4,carol_reciprocate_alice,0.5000,-2.5600,-12.0044,6.0968
41,5,carol_reciprocate_alice,0.5000,-2.7800,-12.5378,6.0968
42,5,carol_help_alice,0.2000,-2.7800,-12.7711,6.3468
43,5,carol_decline_alice,0.1000,-2.6133,-12.7711,6.6968
44,5,carol_decline_alice,0.1000,-2.4467,-12.7711,7.0468
45,5,carol_help_alice,0.2000,-2.4467,-12.9854,7.2968
46,5,carol_decline_alice,0.1000,-2.2895,-12.9854,7.6468
47,5,carol_decline_alice,0.1000,-2.1324,-12.9854,7.9968
48,5,carol_help_alice,0.6000,-2.1324,-13.5854,7.8468
49,5,carol_reciprocate_alice,0.5000,-2.3324,-14.0854,7.8468
50,5,carol_decline_alice,0.1000,-2.1324,-14.0854,8.1988
51,6,carol_help_alice,0.6000,-2.1324,-14.6795,8.0508
52,6,carol_reciprocate_alice,0.5000,-2.2990,-15.1736,8.0508
53,6,carol_help_alice,0.2000,-2.2990,-15.3677,8.3047
54,6,carol_decline_alice,0.1000,-2.0790,-15.3677,8.6585
55,6,carol_decline_alice,0.1000,-1.8590,-15.3677,9.0124
56,6,carol_help_alice,0.2000,-1.8590,-15.5520,9.2662
57,6,carol_decline_alice,0.1000,-1.6500,-15.5520,9.6201
58,6,carol_reciprocate_alice,0.2000,-1.5409,-15.7320,9.6201
59,6,carol_decline_alice,-0.3000,-0.9318,-15.7320,10.3645
60,6,carol_help_alice,0.6000,-0.9318,-16.3272,10.2089
61,7,carol_decline_alice,0.1000,-0.6984,-16.3272,10.5534
62,7,carol_reciprocate_alice,0.2000,-0.5651,-16.5181,10.5534
63,7,carol_reciprocate_alice,0.2000,-0.4318,-16.7090,10.5534
64,7,carol_reciprocate_alice,0.5000,-0.5984,-17.1999,10.5534
65,7,carol_help_alice,0.2000,-0.5984,-17.3908,10.7834
66,7,carol_reciprocate_alice,0.5000,-0.7754,-17.8817,10.7834
67,7,carol_decline_alice,0.1000,-0.5523,-17.8817,11.1157
68,7,carol_decline_alice,0.1000,-0.3292,-17.8817,11.4479
69,7,carol_reciprocate_alice,0.5000,-0.5061,-18.3651,11.4479
70,7,carol_reciprocate_alice,0.5000,-0.6831,-18.8484,11.4479
71,8,carol_help_alice,0.6000,-0.6831,-19.4317,11.2843
72,8,carol_decline_alice,0.1000,-0.4402,-19.4317,11.6206
