iteration,episode,person,action,reward,alice_help_bob,alice_decline_bob,alice_delay_bob,alice_help_carol,alice_decline_carol,alice_teach_carol,alice_help_dave,alice_decline_dave,alice_suggest_dave
1,1,bob,alice_delay_bob,-0.3000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,bob,alice_delay_bob,0.5000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,1,bob,alice_delay_bob,0.5000,-0.0333,-0.0333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1,bob,alice_decline_bob,0.0000,-0.0333,-0.0333,0.2333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,bob,alice_delay_bob,-0.3000,-0.1333,-0.1333,0.2333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,1,bob,alice_decline_bob,0.0000,-0.1333,-0.1333,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,1,bob,alice_decline_bob,0.0000,-0.1333,-0.1333,0.4333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,1,bob,alice_decline_bob,0.0000,-0.1333,-0.1333,0.5333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,1,bob,alice_decline_bob,0.0000,-0.1333,-0.1333,0.6333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,bob,alice_delay_bob,0.5000,-0.3133,-0.3133,0.6333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,1,carol,alice_decline_carol,0.3000,-0.3133,-0.3133,0.6333,-0.3000,0.0000,-0.3000,0.0000,0.0000,0.0000
12,1,carol,alice_help_carol,0.1960,-0.3133,-0.3133,0.6333,-0.3000,0.1040,-0.4960,0.0000,0.0000,0.0000
13,1,carol,alice_decline_carol,0.2960,-0.3133,-0.3133,0.6333,-0.4020,0.1040,-0.7940,0.0000,0.0000,0.0000
14,1,carol,alice_teach_carol,-0.0040,-0.3133,-0.3133,0.6333,-0.2020,0.4060,-0.7940,0.0000,0.0000,0.0000
15,1,carol,alice_help_carol,0.1920,-0.3133,-0.3133,0.6333,-0.2020,0.5100,-0.9920,0.0000,0.0000,0.0000
16,1,carol,alice_decline_carol,-0.0080,-0.3133,-0.3133,0.6333,-0.2040,0.5100,-1.1920,0.0000,0.0000,0.0000
17,1,carol,alice_help_carol,0.4020,-0.3133,-0.3133,0.6333,-0.2040,0.4427,-1.4593,0.0000,0.0000,0.0000
18,1,carol,alice_help_carol,0.3480,-0.3133,-0.3133,0.6333,-0.2040,0.3542,-1.7478,0.0000,0.0000,0.0000
19,1,carol,alice_help_carol,-0.1860,-0.3133,-0.3133,0.6333,-0.2040,0.3598,-1.9422,0.0000,0.0000,0.0000
20,1,carol,alice_help_carol,0.2900,-0.3133,-0.3133,0.6333,-0.2040,0.3488,-2.1532,0.0000,0.0000,0.0000
21,1,dave,alice_help_dave,0.8100,-0.3133,-0.3133,0.6333,-0.2040,0.3488,-2.1532,0.0000,-0.8100,-0.8100
22,1,dave,alice_help_dave,0.8200,-0.3133,-0.3133,0.6333,-0.2040,0.3488,-2.1532,0.0000,-1.6250,-1.6250
23,1,dave,alice_suggest_dave,-0.2800,-0.3133,-0.3133,0.6333,-0.2040,0.3488,-2.1532,1.0950,-1.3450,-1.6250
24,1,dave,alice_suggest_dave,0.5200,-0.3133,-0.3133,0.6333,-0.2040,0.3488,-2.1532,1.7900,-1.4650,-1.6250
25,1,dave,alice_decline_dave,0.0200,-0.3133,-0.3133,0.6333,-0.2040,0.3488,-2.1532,2.5850,-1.4650,-1.5250
26,1,dave,alice_help_dave,0.8300,-0.3133,-0.3133,0.6333,-0.2040,0.3488,-2.1532,2.5850,-2.2650,-2.2250
27,1,dave,alice_suggest_dave,0.5300,-0.3133,-0.3133,0.6333,-0.2040,0.3488,-2.1532,3.1483,-2.5017,-2.2250
28,1,dave,alice_help_dave,0.0400,-0.3133,-0.3133,0.6333,-0.2040,0.3488,-2.1532,3.1483,-3.1067,-2.5933
29,1,dave,alice_suggest_dave,0.5400,-0.3133,-0.3133,0.6333,-0.2040,0.3488,-2.1532,3.4458,-3.4142,-2.5933
30,1,dave,alice_help_dave,0.8500,-0.3133,-0.3133,0.6333,-0.2040,0.3488,-2.1532,3.4458,-4.0642,-2.9358
31,2,bob,alice_help_bob,0.8100,-0.3133,-1.1233,0.0033,-0.2040,0.3488,-2.1532,3.4458,-4.0642,-2.9358
32,2,bob,alice_delay_bob,-0.2900,0.3950,-1.2250,0.0033,-0.2040,0.3488,-2.1532,3.4458,-4.0642,-2.9358
33,2,bob,alice_decline_bob,0.0100,1.2033,-1.2250,0.1033,-0.2040,0.3488,-2.1532,3.4458,-4.0642,-2.9358
34,2,bob,alice_help_bob,0.0200,1.2033,-1.6383,-0.2100,-0.2040,0.3488,-2.1532,3.4458,-4.0642,-2.9358
35,2,bob,alice_decline_bob,0.0200,1.6140,-1.6383,-0.1126,-0.2040,0.3488,-2.1532,3.4458,-4.0642,-2.9358
36,2,bob,alice_delay_bob,0.5200,1.8676,-1.7955,-0.1126,-0.2040,0.3488,-2.1532,3.4458,-4.0642,-2.9358
37,2,bob,alice_help_bob,0.6160,1.8676,-2.2732,-0.4332,-0.2040,0.3488,-2.1532,3.4458,-4.0642,-2.9358
38,2,bob,alice_delay_bob,0.5160,2.1439,-2.4747,-0.4332,-0.2040,0.3488,-2.1532,3.4458,-4.0642,-2.9358
39,2,bob,alice_decline_bob,0.0160,2.6201,-2.4747,-0.2332,-0.2040,0.3488,-2.1532,3.4458,-4.0642,-2.9358
40,2,bob,alice_delay_bob,0.5160,2.8619,-2.7091,-0.2332,-0.2040,0.3488,-2.1532,3.4458,-4.0642,-2.9358
41,2,carol,alice_decline_carol,0.5900,2.8619,-2.7091,-0.2332,-0.2915,0.3488,-2.4517,3.4458,-4.0642,-2.9358
42,2,carol,alice_help_carol,-0.2283,2.8619,-2.7091,-0.2332,-0.2915,0.4985,-2.6005,3.4458,-4.0642,-2.9358
43,2,carol,alice_help_carol,0.2570,2.8619,-2.7091,-0.2332,-0.2915,0.6341,-2.7634,3.4458,-4.0642,-2.9358
44,2,carol,alice_help_carol,0.2447,2.8619,-2.7091,-0.2332,-0.2915,0.7602,-2.9358,3.4458,-4.0642,-2.9358
