iteration,episode,action,reward,carol_help_alice_regret,carol_decline_alice_regret,carol_reciprocate_alice_regret
1,1,carol_decline_alice,0.1000,-0.1000,0.0000,-0.1000
2,1,carol_help_alice,0.2000,-0.1000,-0.1000,-0.3000
3,1,carol_reciprocate_alice,0.5000,-0.4000,-0.5000,-0.3000
4,1,carol_decline_alice,0.1000,-0.3000,-0.5000,0.1000
5,1,carol_help_alice,0.2000,-0.3000,-0.6000,0.4000
6,1,carol_help_alice,0.6000,-0.3000,-1.1000,0.3000
7,1,carol_decline_alice,-0.3000,0.3333,-1.1000,1.1000
8,1,carol_help_alice,0.6000,0.3333,-1.7333,1.0000
9,1,carol_help_alice,0.2000,0.3333,-1.9667,1.3000
10,1,carol_help_alice,0.2000,0.3333,-2.2000,1.6000
11,2,carol_reciprocate_alice,0.5000,0.1667,-2.7333,1.6000
12,2,carol_help_alice,0.2000,0.1667,-2.9667,1.9000
13,2,carol_reciprocate_alice,0.5000,-0.0190,-3.5000,1.9000
14,2,carol_help_alice,0.6000,-0.0190,-4.1333,1.8000
15,2,carol_help_alice,0.6000,-0.0190,-4.7667,1.7000
16,2,carol_help_alice,0.6000,-0.0190,-5.4000,1.6000
17,2,carol_help_alice,0.2000,-0.0190,-5.6333,1.9000
18,2,carol_reciprocate_alice,0.2000,0.1628,-5.8667,1.9000
19,2,carol_help_alice,0.2000,0.1628,-6.1000,2.1250
20,2,carol_help_alice,0.6000,0.1628,-6.7333,1.9500
21,3,carol_decline_alice,0.1000,0.4474,-6.7333,2.2750
22,3,carol_help_alice,0.2000,0.4474,-6.9333,2.5000
23,3,carol_reciprocate_alice,0.5000,0.3188,-7.4333,2.5000
24,3,carol_decline_alice,-0.3000,0.9902,-7.4333,3.2400
25,3,carol_help_alice,0.6000,0.9902,-8.0933,3.0800
26,3,carol_reciprocate_alice,0.2000,1.1769,-8.3533,3.0800
27,3,carol_decline_alice,0.1000,1.4636,-8.3533,3.3800
28,3,carol_decline_alice,0.1000,1.7502,-8.3533,3.6800
29,3,carol_decline_alice,0.1000,2.0369,-8.3533,3.9800
30,3,carol_decline_alice,0.1000,2.3236,-8.3533,4.2800
31,4,carol_help_alice,0.2000,2.3236,-8.5422,4.4800
32,4,carol_decline_alice,0.1000,2.5986,-8.5422,4.7800
33,4,carol_reciprocate_alice,0.2000,2.7736,-8.7222,4.7800
34,4,carol_decline_alice,0.1000,3.0486,-8.7222,5.0514
35,4,carol_help_alice,0.6000,3.0486,-9.2949,4.8229
36,4,carol_help_alice,0.2000,3.0486,-9.4677,4.9943
37,4,carol_decline_alice,0.1000,3.3264,-9.4677,5.2657
38,4,carol_reciprocate_alice,0.5000,3.2041,-9.9343,5.2657
39,4,carol_reciprocate_alice,0.2000,3.3819,-10.1010,5.2657
40,4,carol_help_alice,0.6000,3.3819,-10.6677,5.0324
41,5,carol_help_alice,0.2000,3.3819,-10.8343,5.1990
42,5,carol_decline_alice,-0.3000,4.0619,-10.8343,5.8657
43,5,carol_decline_alice,0.1000,4.3419,-10.8343,6.1324
44,5,carol_reciprocate_alice,0.5000,4.2219,-11.3201,6.1324
45,5,carol_help_alice,0.2000,4.2219,-11.5058,6.3124
46,5,carol_reciprocate_alice,0.2000,4.3933,-11.6915,6.3124
47,5,carol_reciprocate_alice,0.2000,4.5648,-11.8772,6.3124
48,5,carol_help_alice,0.2000,4.5648,-12.0629,6.4624
49,5,carol_reciprocate_alice,0.5000,4.4284,-12.5486,6.4624
50,5,carol_reciprocate_alice,0.5000,4.2920,-13.0343,6.4624
51,6,carol_reciprocate_alice,0.5000,4.1557,-13.5201,6.4624
52,6,carol_help_alice,0.2000,4.1557,-13.7058,6.6424
53,6,carol_help_alice,0.2000,4.1557,-13.8915,6.8224
54,6,carol_decline_alice,-0.3000,4.8057,-13.8915,7.5024
55,6,carol_decline_alice,0.1000,5.0557,-13.8915,7.7824
56,6,carol_help_alice,0.2000,5.0557,-14.0915,7.9624
57,6,carol_decline_alice,-0.3000,5.6997,-14.0915,8.6424
58,6,carol_decline_alice,-0.3000,6.3437,-14.0915,9.3224
59,6,carol_decline_alice,0.1000,6.5877,-14.0915,9.6024
60,6,carol_decline_alice,0.1000,6.8317,-14.0915,9.8824
61,7,carol_reciprocate_alice,0.2000,6.9757,-14.3115,9.8824
62,7,carol_reciprocate_alice,0.5000,6.8197,-14.8315,9.8824
63,7,carol_decline_alice,0.1000,7.0637,-14.8315,10.1589
64,7,carol_reciprocate_alice,0.5000,6.9077,-15.3458,10.1589
65,7,carol_help_alice,0.2000,6.9077,-15.5601,10.3422
66,7,carol_reciprocate_alice,0.5000,6.7461,-16.0743,10.3422
67,7,carol_help_alice,0.2000,6.7461,-16.2886,10.5317
68,7,carol_help_alice,0.6000,6.7461,-16.9029,10.3211
69,7,carol_decline_alice,0.1000,6.9890,-16.9029,10.6106
70,7,carol_decline_alice,0.1000,7.2319,-16.9029,10.9001
71,8,carol_reciprocate_alice,0.5000,7.0747,-17.4073,10.9001
72,8,carol_help_alice,0.2000,7.0747,-17.6116,11.0951
73,8,carol_help_alice,0.6000,7.0747,-18.2160,10.8901
74,8,carol_decline_alice,-0.3000,7.7214,-18.2160,11.5851
75,8,carol_reciprocate_alice,0.5000,7.5680,-18.7326,11.5851
76,8,carol_reciprocate_alice,0.5000,7.4147,-19.2493,11.5851
77,8,carol_reciprocate_alice,0.2000,7.5614,-19.4660,11.5851
78,8,carol_reciprocate_alice,0.2000,7.7080,-19.6826,11.5851
79,8,carol_help_alice,0.2000,7.7080,-19.8993,11.7726
80,8,carol_reciprocate_alice,0.2000,7.8500,-20.1160,11.7726
81,9,carol_reciprocate_alice,0.5000,7.6919,-20.6326,11.7726
82,9,carol_help_alice,0.2000,7.6919,-20.8493,11.9572
83,9,carol_help_alice,0.6000,7.6919,-21.4660,11.7418
84,9,carol_decline_alice,0.1000,7.9374,-21.4660,12.0264
85,9,carol_decline_alice,0.1000,8.1828,-21.4660,12.3110
86,9,carol_reciprocate_alice,0.5000,8.0283,-21.9737,12.3110
87,9,carol_decline_alice,0.1000,8.2737,-21.9737,12.5999
88,9,carol_help_alice,0.6000,8.2737,-22.5774,12.3888
89,9,carol_reciprocate_alice,0.5000,8.1267,-23.0811,12.3888
90,9,carol_decline_alice,0.1000,8.3796,-23.0811,12.6817
91,10,carol_decline_alice,-0.3000,9.0326,-23.0811,13.3745
92,10,carol_help_alice,0.6000,9.0326,-23.6914,13.1674
93,10,carol_help_alice,0.2000,9.0326,-23.9017,13.3602
94,10,carol_help_alice,0.2000,9.0326,-24.1121,13.5531
95,10,carol_decline_alice,0.1000,9.2839,-24.1121,13.8460
96,10,carol_help_alice,0.2000,9.2839,-24.3188,14.0388
97,10,carol_reciprocate_alice,0.2000,9.4313,-24.5254,14.0388
98,10,carol_reciprocate_alice,0.5000,9.2786,-25.0321,14.0388
99,10,carol_help_alice,0.2000,9.2786,-25.2388,14.2288
100,10,carol_reciprocate_alice,0.2000,9.4222,-25.4454,14.2288
101,11,carol_help_alice,0.2000,9.4222,-25.6521,14.4127
102,11,carol_help_alice,0.2000,9.4222,-25.8588,14.5966
103,11,carol_decline_alice,0.1000,9.6588,-25.8588,14.8804
104,11,carol_help_alice,0.2000,9.6588,-26.0620,15.0643
105,11,carol_decline_alice,0.1000,9.8922,-26.0620,15.3482
106,11,carol_decline_alice,-0.3000,10.5255,-26.0620,16.0320
107,11,carol_reciprocate_alice,0.5000,10.3588,-26.5711,16.0320
108,11,carol_help_alice,0.6000,10.3588,-27.1802,15.8195
109,11,carol_reciprocate_alice,0.5000,10.1984,-27.6893,15.8195
110,11,carol_decline_alice,0.1000,10.4379,-27.6893,16.1105
111,12,carol_reciprocate_alice,0.5000,10.2774,-28.1951,16.1105
112,12,carol_reciprocate_alice,0.5000,10.1170,-28.7010,16.1105
113,12,carol_reciprocate_alice,0.5000,9.9565,-29.2069,16.1105
114,12,carol_reciprocate_alice,0.5000,9.7960,-29.7128,16.1105
115,12,carol_help_alice,0.6000,9.7960,-30.3187,15.9132
116,12,carol_decline_alice,-0.3000,10.4415,-30.3187,16.6159
117,12,carol_help_alice,0.2000,10.4415,-30.5330,16.8186
118,12,carol_decline_alice,-0.3000,11.0837,-30.5330,17.5213
119,12,carol_reciprocate_alice,0.5000,10.9259,-31.0552,17.5213
120,12,carol_reciprocate_alice,0.2000,11.0681,-31.2774,17.5213
121,13,carol_decline_alice,0.1000,11.3104,-31.2774,17.8213
122,13,carol_decline_alice,-0.3000,11.9526,-31.2774,18.5213
123,13,carol_reciprocate_alice,0.5000,11.7948,-31.8037,18.5213
124,13,carol_decline_alice,0.1000,12.0370,-31.8037,18.8238
125,13,carol_decline_alice,0.1000,12.2793,-31.8037,19.1263
126,13,carol_reciprocate_alice,0.5000,12.1215,-32.3237,19.1263
127,13,carol_help_alice,0.6000,12.1215,-32.9437,18.9311
128,13,carol_reciprocate_alice,0.2000,12.2693,-33.1637,18.9311
129,13,carol_help_alice,0.2000,12.2693,-33.3837,19.1311
130,13,carol_help_alice,0.2000,12.2693,-33.6037,19.3311
131,14,carol_help_alice,0.2000,12.2693,-33.8237,19.5311
132,14,carol_reciprocate_alice,0.5000,12.1081,-34.3437,19.5311
133,14,carol_reciprocate_alice,0.5000,11.9469,-34.8637,19.5311
134,14,carol_reciprocate_alice,0.2000,12.0856,-35.0837,19.5311
135,14,carol_reciprocate_alice,0.5000,11.9244,-35.6037,19.5311
136,14,carol_decline_alice,-0.3000,12.5632,-35.6037,20.2333
137,14,carol_decline_alice,0.1000,12.8020,-35.6037,20.5355
138,14,carol_decline_alice,-0.3000,13.4407,-35.6037,21.2377
139,14,carol_reciprocate_alice,0.5000,13.2795,-36.1339,21.2377
140,14,carol_reciprocate_alice,0.5000,13.1183,-36.6642,21.2377
141,15,carol_decline_alice,0.1000,13.3571,-36.6642,21.5439
142,15,carol_decline_alice,-0.3000,13.9958,-36.6642,22.2502
143,15,carol_help_alice,0.2000,13.9958,-36.8975,22.4564
144,15,carol_reciprocate_alice,0.2000,14.1318,-37.1308,22.4564
145,15,carol_help_alice,0.2000,14.1318,-37.3642,22.6585
146,15,carol_help_alice,0.2000,14.1318,-37.5975,22.8605
