iteration,episode,person,action,reward,alice_help_bob,alice_decline_bob,alice_delay_bob,alice_help_carol,alice_decline_carol,alice_teach_carol,alice_help_dave,alice_decline_dave,alice_suggest_dave
1,1,bob,alice_delay_bob,-0.3000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,bob,alice_help_bob,0.1960,0.3000,0.1040,-0.4960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,1,bob,alice_decline_bob,-0.0040,0.5000,0.1040,-0.7920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1,bob,alice_decline_bob,0.2960,0.5500,0.1040,-1.2380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,bob,alice_help_bob,-0.2940,0.5500,0.2990,-1.4890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,1,bob,alice_delay_bob,0.5060,0.3980,0.3420,-1.4890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,1,bob,alice_delay_bob,0.5060,0.1117,0.2507,-1.4890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,1,bob,alice_delay_bob,-0.2940,-0.0418,0.2922,-1.4890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,1,bob,alice_help_bob,-0.1840,-0.0418,0.5322,-1.2905,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,bob,alice_help_bob,0.6760,-0.0418,0.5797,-1.2845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,1,carol,alice_decline_carol,0.3000,-0.0418,0.5797,-1.2845,-0.3000,0.0000,-0.3000,0.0000,0.0000,0.0000
12,1,carol,alice_teach_carol,0.0000,-0.0418,0.5797,-1.2845,-0.3000,0.3000,-0.3000,0.0000,0.0000,0.0000
13,1,carol,alice_help_carol,0.1960,-0.0418,0.5797,-1.2845,-0.3000,0.4040,-0.4960,0.0000,0.0000,0.0000
14,1,carol,alice_decline_carol,0.5960,-0.0418,0.5797,-1.2845,-0.5520,0.4040,-0.9440,0.0000,0.0000,0.0000
15,1,carol,alice_teach_carol,-0.0040,-0.0418,0.5797,-1.2845,-0.3540,0.8540,-0.9440,0.0000,0.0000,0.0000
16,1,carol,alice_teach_carol,0.4960,-0.0418,0.5797,-1.2845,-0.3220,1.1380,-0.9440,0.0000,0.0000,0.0000
17,1,carol,alice_decline_carol,-0.0040,-0.0418,0.5797,-1.2845,-0.4233,1.1380,-1.0773,0.0000,0.0000,0.0000
18,1,carol,alice_teach_carol,0.4960,-0.0418,0.5797,-1.2845,-0.4743,1.1883,-1.0773,0.0000,0.0000,0.0000
19,1,carol,alice_teach_carol,-0.0040,-0.0418,0.5797,-1.2845,-0.4751,1.2889,-1.0773,0.0000,0.0000,0.0000
20,1,carol,alice_teach_carol,-0.0040,-0.0418,0.5797,-1.2845,-0.4425,1.4229,-1.0773,0.0000,0.0000,0.0000
