iteration,episode,person,action,reward,help_bob,decline_bob,delay_bob,help_alice,decline_alice,teach_alice,help_dave,decline_dave,suggest_dave
47,2,carol,teach_alice,-0.0200,1.5574,-6.2979,0.6374,-6.0510,5.0723,-1.8040,0.4017,-1.9367,2.4983
48,2,carol,help_alice,0.1760,1.5574,-6.2979,0.6374,-6.0510,5.6063,-1.5867,0.4017,-1.9367,2.4983
49,2,carol,decline_alice,0.5760,1.5574,-6.2979,0.6374,-6.6120,5.6063,-1.9304,0.4017,-1.9367,2.4983
50,2,carol,help_alice,-0.2283,1.5574,-6.2979,0.6374,-6.6120,6.1789,-1.7015,0.4017,-1.9367,2.4983
51,2,dave,suggest_dave,0.5500,1.5574,-6.2979,0.6374,-6.6120,6.1789,-1.7015,0.2217,-2.4317,2.4983
52,2,dave,suggest_dave,0.5500,1.5574,-6.2979,0.6374,-6.6120,6.1789,-1.7015,0.0350,-2.9333,2.4983
53,2,dave,help_dave,0.8600,1.5574,-6.2979,0.6374,-6.6120,6.1789,-1.7015,0.0350,-3.3333,2.6000
54,2,dave,suggest_dave,0.5600,1.5574,-6.2979,0.6374,-6.6120,6.1789,-1.7015,-0.0725,-3.8408,2.6000
55,2,dave,help_dave,0.0700,1.5574,-6.2979,0.6374,-6.6120,6.1789,-1.7015,-0.0725,-4.1887,2.7596
56,2,dave,suggest_dave,0.5700,1.5574,-6.2979,0.6374,-6.6120,6.1789,-1.7015,-0.2376,-4.7017,2.7596
57,2,dave,suggest_dave,-0.2300,1.5574,-6.2979,0.6374,-6.6120,6.1789,-1.7015,-0.2731,-5.0850,2.7596
58,2,dave,decline_dave,0.0700,1.5574,-6.2979,0.6374,-6.6120,6.1789,-1.7015,0.0677,-5.0850,3.1360
59,2,dave,help_dave,0.8800,1.5574,-6.2979,0.6374,-6.6120,6.1789,-1.7015,0.0677,-5.4880,3.1093
60,2,dave,help_dave,0.8900,1.5574,-6.2979,0.6374,-6.6120,6.1789,-1.7015,0.0677,-5.9405,3.0332
61,3,bob,decline_bob,-0.0080,1.6485,-6.2979,0.8538,-6.6120,6.1789,-1.7015,0.0677,-5.9405,3.0332
62,3,bob,help_bob,0.3820,1.6485,-6.4126,0.9554,-6.6120,6.1789,-1.7015,0.0677,-5.9405,3.0332
63,3,bob,decline_bob,0.0020,1.7720,-6.4126,1.1806,-6.6120,6.1789,-1.7015,0.0677,-5.9405,3.0332
64,3,bob,decline_bob,0.0020,1.9017,-6.4126,1.4120,-6.6120,6.1789,-1.7015,0.0677,-5.9405,3.0332
65,3,bob,help_bob,-0.4384,1.9017,-6.4871,1.5689,-6.6120,6.1789,-1.7015,0.0677,-5.9405,3.0332
66,3,bob,help_bob,-0.4560,1.9017,-6.5141,1.7734,-6.6120,6.1789,-1.7015,0.0677,-5.9405,3.0332
67,3,bob,delay_bob,0.4940,1.6694,-6.7733,1.7734,-6.6120,6.1789,-1.7015,0.0677,-5.9405,3.0332
68,3,bob,decline_bob,-0.0060,1.7021,-6.7733,2.0384,-6.6120,6.1789,-1.7015,0.0677,-5.9405,3.0332
69,3,bob,help_bob,0.3886,1.7021,-6.8308,2.2459,-6.6120,6.1789,-1.7015,0.0677,-5.9405,3.0332
70,3,bob,delay_bob,0.5040,1.4718,-7.1186,2.2459,-6.6120,6.1789,-1.7015,0.0677,-5.9405,3.0332
71,3,carol,teach_alice,-0.0140,1.4718,-7.1186,2.2459,-6.8289,6.5347,-1.7015,0.0677,-5.9405,3.0332
72,3,carol,help_alice,0.2570,1.4718,-7.1186,2.2459,-6.8289,7.0553,-1.5366,0.0677,-5.9405,3.0332
73,3,carol,teach_alice,-0.0180,1.4718,-7.1186,2.2459,-6.9844,7.4205,-1.5366,0.0677,-5.9405,3.0332
74,3,carol,teach_alice,-0.0180,1.4718,-7.1186,2.2459,-7.1324,7.7931,-1.5366,0.0677,-5.9405,3.0332
75,3,carol,teach_alice,-0.0180,1.4718,-7.1186,2.2459,-7.2745,8.1716,-1.5366,0.0677,-5.9405,3.0332
76,3,carol,teach_alice,-0.0180,1.4718,-7.1186,2.2459,-7.4118,8.5550,-1.5366,0.0677,-5.9405,3.0332
77,3,carol,help_alice,0.2447,1.4718,-7.1186,2.2459,-7.4118,9.0365,-1.4384,0.0677,-5.9405,3.0332
78,3,carol,teach_alice,-0.0220,1.4718,-7.1186,2.2459,-7.5056,9.4242,-1.4384,0.0677,-5.9405,3.0332
79,3,carol,decline_alice,-0.0220,1.4718,-7.1186,2.2459,-7.9327,9.4242,-1.7716,0.0677,-5.9405,3.0332
80,3,carol,decline_alice,0.5780,1.4718,-7.1186,2.2459,-8.3841,9.4242,-2.1292,0.0677,-5.9405,3.0332
81,3,dave,help_dave,0.9000,1.4718,-7.1186,2.2459,-8.3841,9.4242,-2.1292,0.0677,-6.4335,2.9165
82,3,dave,decline_dave,0.1000,1.4718,-7.1186,2.2459,-8.3841,9.4242,-2.1292,0.5511,-6.4335,3.2832
83,3,dave,suggest_dave,0.6000,1.4718,-7.1186,2.2459,-8.3841,9.4242,-2.1292,0.6418,-6.8261,3.2832
84,3,dave,help_dave,0.8415,1.4718,-7.1186,2.2459,-8.3841,9.4242,-2.1292,0.6418,-7.3373,3.1646
85,3,dave,decline_dave,0.0960,1.4718,-7.1186,2.2459,-8.3841,9.4242,-2.1292,1.1466,-7.3373,3.5509
86,3,dave,suggest_dave,0.5960,1.4718,-7.1186,2.2459,-8.3841,9.4242,-2.1292,1.2463,-7.7425,3.5509
87,3,dave,suggest_dave,-0.2040,1.4718,-7.1186,2.2459,-8.3841,9.4242,-2.1292,1.4200,-8.0736,3.5509
88,3,dave,suggest_dave,0.5960,1.4718,-7.1186,2.2459,-8.3841,9.4242,-2.1292,1.5731,-8.4254,3.5509
89,3,dave,decline_dave,0.0960,1.4718,-7.1186,2.2459,-8.3841,9.4242,-2.1292,2.0732,-8.4254,3.8980
90,3,dave,suggest_dave,0.5960,1.4718,-7.1186,2.2459,-8.3841,9.4242,-2.1292,2.2093,-8.7894,3.8980
91,4,bob,decline_bob,0.0040,1.5326,-7.1186,2.5370,-8.3841,9.4242,-2.1292,2.2093,-8.7894,3.8980
92,4,bob,decline_bob,0.0040,1.5961,-7.1186,2.8308,-8.3841,9.4242,-2.1292,2.2093,-8.7894,3.8980
93,4,bob,delay_bob,0.5040,1.3476,-7.4306,2.8308,-8.3841,9.4242,-2.1292,2.2093,-8.7894,3.8980
94,4,bob,help_bob,-0.4286,1.3476,-7.4569,3.1165,-8.3841,9.4242,-2.1292,2.2093,-8.7894,3.8980
95,4,bob,delay_bob,0.5000,1.0473,-7.7834,3.1165,-8.3841,9.4242,-2.1292,2.2093,-8.7894,3.8980
96,4,bob,decline_bob,-0.0000,1.0762,-7.7834,3.4456,-8.3841,9.4242,-2.1292,2.2093,-8.7894,3.8980
97,4,bob,help_bob,0.3560,1.0762,-7.8324,3.7257,-8.3841,9.4242,-2.1292,2.2093,-8.7894,3.8980
98,4,bob,help_bob,0.3420,1.0762,-7.8981,3.9891,-8.3841,9.4242,-2.1292,2.2093,-8.7894,3.8980
99,4,bob,delay_bob,0.4920,0.8013,-8.2387,3.9891,-8.3841,9.4242,-2.1292,2.2093,-8.7894,3.8980
100,4,bob,help_bob,-0.4215,0.8013,-8.2742,4.2941,-8.3841,9.4242,-2.1292,2.2093,-8.7894,3.8980
